Diameter [mm],Volume [mm³],Voxel,Surface [mm²],Compactness,Sphericity
0.0142,8.7e-07,71,0.0006674,0.57,0.66
0.0126,6.3e-07,52,0.0005085,0.60,0.70
0.0120,5.6e-07,46,0.0004767,0.62,0.69
0.0120,5.6e-07,46,0.0004767,0.62,0.69
0.0124,5.2e-07,43,0.0004767,0.52,0.66
0.0117,5.1e-07,42,0.0004343,0.62,0.71
0.0129,6.5e-07,53,0.0005508,0.58,0.66
0.0126,6.3e-07,52,0.0005297,0.60,0.67
0.0125,6.1e-07,50,0.0005296,0.60,0.66
0.0129,6.1e-07,50,0.0005297,0.55,0.66
0.0126,6.5e-07,53,0.0005191,0.61,0.70
0.0120,5.5e-07,45,0.0004767,0.61,0.68
0.0118,5.2e-07,43,0.0004661,0.60,0.67
0.0120,5.4e-07,44,0.0004767,0.59,0.67
0.0123,5.9e-07,48,0.0005085,0.60,0.67
0.0128,6.6e-07,54,0.0005402,0.60,0.68
0.0129,6.6e-07,54,0.0005402,0.59,0.68
0.0126,6.3e-07,52,0.0005297,0.60,0.67
0.0121,4.9e-07,40,0.0004661,0.52,0.64
0.0121,5.7e-07,47,0.0004767,0.62,0.70
0.0107,4.1e-07,34,0.0003919,0.65,0.69
0.0124,6.1e-07,50,0.0005508,0.60,0.63
0.0120,5.0e-07,41,0.0004449,0.55,0.68
0.0118,4.8e-07,39,0.0004555,0.56,0.65
0.0126,6.0e-07,49,0.0005191,0.57,0.66
0.0132,7.4e-07,61,0.0005932,0.61,0.67
0.0120,5.1e-07,42,0.0004661,0.57,0.66
0.0115,5.2e-07,43,0.0004449,0.66,0.71
0.0129,7.1e-07,58,0.0005614,0.62,0.68
0.0117,4.9e-07,40,0.0004661,0.58,0.64
0.0133,7.4e-07,61,0.0006038,0.60,0.66
0.0125,6.0e-07,49,0.0005085,0.58,0.67
0.0131,7.2e-07,59,0.0005720,0.61,0.68
0.0138,8.3e-07,68,0.0006356,0.60,0.67
0.0121,5.4e-07,44,0.0004873,0.58,0.66
0.0129,6.3e-07,52,0.0005508,0.56,0.65
0.0118,5.5e-07,45,0.0004767,0.63,0.68
0.0158,9.8e-07,80,0.0007627,0.47,0.62
0.0129,6.2e-07,51,0.0005297,0.56,0.67
0.0132,7.4e-07,61,0.0006144,0.61,0.65
0.0135,7.4e-07,61,0.0005720,0.58,0.69
0.0121,5.6e-07,46,0.0004873,0.61,0.67
0.0145,8.7e-07,71,0.0006779,0.54,0.65
0.0120,5.1e-07,42,0.0004767,0.56,0.65
0.0130,7.6e-07,62,0.0005826,0.65,0.69
0.0126,6.3e-07,52,0.0005296,0.60,0.67
0.0131,7.1e-07,58,0.0005826,0.60,0.66
0.0114,5.0e-07,41,0.0004449,0.64,0.68
0.0146,6.9e-07,57,0.0006250,0.43,0.61
0.0124,6.0e-07,49,0.0005085,0.60,0.67
0.0121,6.2e-07,51,0.0004979,0.67,0.71
0.0130,6.7e-07,55,0.0005508,0.58,0.67
0.0117,5.1e-07,42,0.0004449,0.61,0.70
0.0125,6.3e-07,52,0.0005191,0.62,0.69
0.0116,5.0e-07,41,0.0004343,0.61,0.70
0.0120,5.6e-07,46,0.0004873,0.62,0.67
0.0124,5.7e-07,47,0.0004979,0.58,0.67
0.0123,5.0e-07,41,0.0004873,0.52,0.63
0.0120,5.1e-07,42,0.0004661,0.57,0.66
0.0128,6.1e-07,50,0.0004979,0.55,0.70
0.0126,6.0e-07,49,0.0004979,0.57,0.69
0.0118,5.5e-07,45,0.0004449,0.64,0.73
0.0120,5.2e-07,43,0.0004661,0.59,0.67
0.0125,6.2e-07,51,0.0005191,0.61,0.68
0.0128,6.3e-07,52,0.0005508,0.57,0.65
0.0121,6.0e-07,49,0.0004979,0.65,0.69
0.0120,5.4e-07,44,0.0004767,0.60,0.67
0.0126,6.2e-07,51,0.0005191,0.59,0.68
0.0117,5.4e-07,44,0.0004555,0.63,0.70
0.0122,5.6e-07,46,0.0004661,0.59,0.71
0.0126,6.8e-07,56,0.0005508,0.65,0.68
0.0140,8.7e-07,71,0.0006780,0.60,0.65
0.0128,6.9e-07,57,0.0005720,0.63,0.66
0.0121,6.2e-07,51,0.0005085,0.67,0.69
0.0121,5.7e-07,47,0.0004979,0.61,0.67
0.0120,5.5e-07,45,0.0004767,0.61,0.68
0.0114,5.0e-07,41,0.0004343,0.64,0.70
0.0137,8.2e-07,67,0.0006038,0.60,0.70
0.0120,5.6e-07,46,0.0004555,0.61,0.72
0.0138,7.9e-07,65,0.0006144,0.57,0.67
0.0117,4.6e-07,38,0.0004449,0.55,0.65
0.0126,6.2e-07,51,0.0005191,0.59,0.68
0.0122,5.0e-07,41,0.0004555,0.53,0.67
0.0121,5.5e-07,45,0.0004873,0.59,0.67
0.0125,6.3e-07,52,0.0005296,0.62,0.67
0.0135,7.2e-07,59,0.0005720,0.56,0.68
0.0121,6.1e-07,50,0.0004979,0.66,0.70
0.0125,5.0e-07,41,0.0004767,0.49,0.64
0.0128,6.7e-07,55,0.0005508,0.61,0.67
0.0126,6.0e-07,49,0.0005085,0.57,0.67
0.0123,5.6e-07,46,0.0004873,0.58,0.67
0.0116,5.0e-07,41,0.0004343,0.61,0.70
0.0120,5.5e-07,45,0.0004661,0.61,0.70
0.0144,8.7e-07,71,0.0006779,0.56,0.65
0.0143,9.0e-07,74,0.0006674,0.59,0.68
0.0120,5.4e-07,44,0.0004767,0.60,0.67
0.0120,5.5e-07,45,0.0004661,0.61,0.70
0.0127,6.5e-07,53,0.0005402,0.60,0.67
0.0118,4.6e-07,38,0.0004449,0.54,0.65
0.0120,4.8e-07,39,0.0004555,0.53,0.65
0.0120,5.1e-07,42,0.0004661,0.57,0.66
0.0132,7.2e-07,59,0.0005720,0.59,0.68
0.0118,4.5e-07,37,0.0004343,0.53,0.65
0.0121,5.9e-07,48,0.0004873,0.63,0.69
0.0119,5.2e-07,43,0.0004661,0.59,0.67
0.0115,4.8e-07,39,0.0004237,0.60,0.70
0.0117,4.9e-07,40,0.0004449,0.58,0.67
0.0126,5.7e-07,47,0.0004979,0.55,0.67
0.0132,7.1e-07,58,0.0005826,0.58,0.66
0.0137,7.2e-07,59,0.0005720,0.53,0.68
0.0112,4.8e-07,39,0.0004237,0.64,0.70
0.0825,8.4e-05,6925,0.0150314,0.29,0.62
0.0120,5.5e-07,45,0.0004767,0.61,0.68
0.0133,7.2e-07,59,0.0005720,0.58,0.68
0.0114,5.1e-07,42,0.0004343,0.67,0.71
0.0120,5.6e-07,46,0.0004767,0.62,0.69
0.0148,5.9e-07,48,0.0005508,0.34,0.61
0.0118,4.4e-07,36,0.0004237,0.51,0.66
0.0120,5.5e-07,45,0.0004767,0.61,0.68
0.0126,5.5e-07,45,0.0005085,0.52,0.64
0.0120,5.6e-07,46,0.0004767,0.62,0.69
0.0146,7.2e-07,59,0.0006038,0.45,0.64
0.0151,8.9e-07,73,0.0006886,0.49,0.65
0.0782,9.0e-05,7423,0.0159424,0.36,0.61
0.0132,7.9e-07,65,0.0006568,0.65,0.63
0.0120,5.1e-07,42,0.0004555,0.57,0.68
0.0126,6.5e-07,53,0.0005191,0.61,0.70
0.0121,6.1e-07,50,0.0004979,0.66,0.70
0.0113,5.1e-07,42,0.0004449,0.68,0.70
0.0121,5.9e-07,48,0.0004873,0.63,0.69
0.0117,5.4e-07,44,0.0004449,0.64,0.72
0.0126,6.5e-07,53,0.0005402,0.61,0.67
0.0127,6.2e-07,51,0.0005085,0.58,0.69
0.0128,5.6e-07,46,0.0005297,0.51,0.62
0.0111,4.6e-07,38,0.0004237,0.65,0.68
0.0117,4.5e-07,37,0.0004343,0.53,0.65
0.0112,5.0e-07,41,0.0004343,0.68,0.70
0.0130,6.9e-07,57,0.0005614,0.61,0.68
0.0112,4.4e-07,36,0.0004237,0.59,0.66
