Diameter [mm],Volume [mm³],Voxel,Surface [mm²],Compactness,Sphericity
0.0153,1.2e-06,100,0.0008157,0.65,0.68
0.0197,2.3e-06,186,0.0012923,0.56,0.65
0.0147,9.9e-07,81,0.0007415,0.59,0.65
0.0082,1.7e-07,14,0.0002013,0.60,0.74
0.0298,5.1e-06,415,0.0023305,0.37,0.61
0.0142,6.9e-07,57,0.0005614,0.46,0.68
0.0086,2.0e-07,16,0.0002330,0.58,0.70
0.0144,9.3e-07,76,0.0006885,0.59,0.67
0.0147,1.0e-06,84,0.0007415,0.62,0.66
0.0234,4.0e-06,325,0.0018750,0.59,0.65
0.0082,1.7e-07,14,0.0002013,0.60,0.74
0.0270,7.2e-06,589,0.0027012,0.70,0.67
0.0204,1.8e-06,150,0.0011440,0.41,0.63
0.0213,2.3e-06,191,0.0013029,0.46,0.65
0.0083,1.7e-07,14,0.0002225,0.57,0.67
0.0107,3.0e-07,25,0.0003390,0.48,0.65
0.0089,2.2e-07,18,0.0002542,0.60,0.69
0.0259,4.6e-06,376,0.0020444,0.50,0.65
0.0247,5.4e-06,440,0.0022775,0.68,0.65
0.0163,1.4e-06,116,0.0009110,0.63,0.67
0.0275,7.4e-06,604,0.0027754,0.67,0.66
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0124,5.0e-07,41,0.0004979,0.50,0.61
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0163,1.4e-06,118,0.0009004,0.63,0.68
0.0088,2.2e-07,18,0.0002648,0.62,0.66
0.0092,1.7e-07,14,0.0002436,0.42,0.61
0.0086,2.0e-07,16,0.0002119,0.58,0.77
0.0233,4.3e-06,351,0.0019703,0.65,0.65
0.0236,4.3e-06,354,0.0019703,0.63,0.65
0.0076,1.5e-07,12,0.0001695,0.63,0.79
0.0095,1.5e-07,12,0.0002119,0.33,0.63
0.0091,2.4e-07,20,0.0002648,0.62,0.71
0.0292,9.3e-06,759,0.0032520,0.71,0.66
0.0092,2.0e-07,16,0.0002436,0.48,0.67
0.0082,1.7e-07,14,0.0002013,0.60,0.74
0.0088,2.2e-07,18,0.0002648,0.61,0.66
0.0088,2.2e-07,18,0.0002542,0.61,0.69
0.0095,1.8e-07,15,0.0002225,0.41,0.70
0.0084,1.8e-07,15,0.0002224,0.58,0.70
0.0243,3.3e-06,274,0.0016949,0.44,0.64
0.0086,2.0e-07,16,0.0002119,0.58,0.77
0.0087,2.1e-07,17,0.0002330,0.59,0.73
0.0140,6.6e-07,54,0.0005296,0.46,0.69
0.0445,1.1e-05,932,0.0042584,0.25,0.57
0.0089,2.2e-07,18,0.0002542,0.60,0.69
0.0197,2.0e-06,163,0.0011546,0.49,0.66
0.0087,2.3e-07,19,0.0002436,0.66,0.75
0.0087,2.0e-07,16,0.0002331,0.57,0.70
0.0164,1.3e-06,106,0.0008474,0.55,0.68
0.0083,2.2e-07,18,0.0002754,0.73,0.64
0.0149,1.2e-06,99,0.0007945,0.69,0.69
0.0087,2.1e-07,17,0.0002330,0.59,0.73
0.0138,8.3e-07,68,0.0006144,0.60,0.69
0.0268,6.7e-06,550,0.0026694,0.66,0.64
0.0085,1.8e-07,15,0.0002330,0.57,0.67
0.0204,2.3e-06,192,0.0013029,0.53,0.65
0.0184,2.0e-06,163,0.0011864,0.61,0.64
0.0160,1.1e-06,92,0.0007733,0.52,0.68
0.0137,8.4e-07,69,0.0006038,0.62,0.71
0.0196,1.9e-06,153,0.0011334,0.48,0.65
0.0173,1.5e-06,121,0.0009216,0.55,0.68
0.0086,2.0e-07,16,0.0002330,0.58,0.70
0.0089,2.2e-07,18,0.0002542,0.60,0.69
0.0087,2.2e-07,18,0.0002436,0.63,0.72
0.0232,3.8e-06,312,0.0018008,0.58,0.65
0.0216,2.6e-06,212,0.0013877,0.49,0.66
0.0262,6.5e-06,537,0.0025529,0.69,0.66
0.0088,2.1e-07,17,0.0002436,0.58,0.70
0.0091,2.3e-07,19,0.0002542,0.59,0.72
0.0152,1.2e-06,100,0.0008474,0.66,0.65
0.0245,4.7e-06,388,0.0020550,0.62,0.66
0.0291,7.0e-06,574,0.0027118,0.54,0.65
0.0078,1.5e-07,12,0.0001907,0.58,0.70
0.0147,1.1e-06,90,0.0007839,0.66,0.66
0.0189,1.9e-06,159,0.0011546,0.55,0.65
0.0103,2.4e-07,20,0.0002860,0.43,0.66
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0289,8.9e-06,727,0.0031991,0.70,0.65
0.0086,2.0e-07,16,0.0002330,0.58,0.70
0.0184,1.7e-06,138,0.0010381,0.52,0.66
0.0088,2.1e-07,17,0.0002436,0.58,0.70
0.0137,8.3e-07,68,0.0005932,0.61,0.72
0.0104,3.2e-07,26,0.0003390,0.54,0.66
0.0083,1.7e-07,14,0.0002225,0.57,0.67
0.0180,1.8e-06,147,0.0010805,0.59,0.66
0.0228,4.4e-06,357,0.0019597,0.70,0.66
0.0083,1.7e-07,14,0.0002330,0.57,0.64
0.0184,1.8e-06,144,0.0010487,0.54,0.67
0.0181,1.8e-06,148,0.0010911,0.58,0.66
0.0081,1.5e-07,12,0.0001907,0.52,0.70
0.0176,1.8e-06,149,0.0010699,0.63,0.67
0.0378,6.1e-06,500,0.0029343,0.22,0.55
0.0086,2.0e-07,16,0.0002436,0.58,0.67
0.0150,1.0e-06,83,0.0007097,0.58,0.69
0.0191,2.0e-06,166,0.0011864,0.55,0.65
0.0090,2.3e-07,19,0.0002648,0.61,0.69
0.0160,1.4e-06,116,0.0009004,0.66,0.68
0.0142,9.6e-07,79,0.0006885,0.64,0.68
0.0081,1.5e-07,12,0.0001907,0.52,0.70
0.0161,1.2e-06,98,0.0008051,0.55,0.68
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0261,6.2e-06,511,0.0024893,0.67,0.66
0.0137,8.3e-07,68,0.0006462,0.61,0.66
0.0292,9.8e-06,800,0.0034109,0.75,0.65
0.0087,2.0e-07,16,0.0002330,0.57,0.70
0.0082,1.7e-07,14,0.0002013,0.60,0.74
0.0301,9.4e-06,774,0.0032520,0.66,0.66
0.0303,1.0e-05,859,0.0035592,0.72,0.65
0.0234,4.2e-06,347,0.0019173,0.63,0.66
0.0076,1.2e-07,10,0.0001589,0.52,0.75
0.0171,1.4e-06,118,0.0009534,0.55,0.65
0.0177,1.5e-06,123,0.0009640,0.51,0.66
0.0182,1.6e-06,130,0.0010275,0.50,0.64
0.0199,2.1e-06,176,0.0012394,0.52,0.65
0.0083,1.7e-07,14,0.0002119,0.57,0.70
0.0082,1.7e-07,14,0.0002013,0.60,0.74
0.0269,7.2e-06,587,0.0027224,0.70,0.66
0.0088,2.1e-07,17,0.0002542,0.57,0.67
0.0092,1.7e-07,14,0.0002330,0.42,0.64
0.0159,1.3e-06,108,0.0008263,0.63,0.70
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0161,1.4e-06,115,0.0009110,0.65,0.66
0.0250,5.3e-06,434,0.0022351,0.65,0.66
0.0193,2.0e-06,160,0.0011546,0.52,0.65
0.0282,8.6e-06,706,0.0030402,0.73,0.67
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0089,2.2e-07,18,0.0002542,0.60,0.69
0.0086,2.0e-07,16,0.0002330,0.58,0.70
0.0201,2.1e-06,169,0.0011970,0.49,0.65
0.0087,2.0e-07,16,0.0002330,0.57,0.70
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0198,1.7e-06,140,0.0010593,0.42,0.65
0.0092,2.0e-07,16,0.0002436,0.48,0.67
0.0144,8.7e-07,71,0.0006568,0.56,0.67
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0087,2.0e-07,16,0.0002330,0.57,0.70
0.0137,8.4e-07,69,0.0006356,0.63,0.68
0.0290,9.1e-06,745,0.0031885,0.71,0.66
0.0082,1.6e-07,13,0.0001907,0.56,0.74
0.0082,1.7e-07,14,0.0002013,0.60,0.74
0.0184,1.8e-06,145,0.0011017,0.54,0.64
0.0143,1.0e-06,84,0.0006991,0.68,0.70
0.0087,2.2e-07,18,0.0002436,0.63,0.72
0.0083,1.7e-07,14,0.0002119,0.57,0.70
0.0151,1.1e-06,93,0.0008051,0.63,0.65
0.0087,2.1e-07,17,0.0002330,0.59,0.73
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0082,1.6e-07,13,0.0002013,0.56,0.70
0.0136,7.7e-07,63,0.0006144,0.59,0.66
0.0192,2.0e-06,161,0.0011652,0.53,0.65
0.0087,2.3e-07,19,0.0002436,0.66,0.75
0.0086,2.0e-07,16,0.0002330,0.58,0.70
0.0183,1.8e-06,148,0.0010911,0.56,0.66
0.0171,1.5e-06,120,0.0009216,0.56,0.68
0.0158,1.3e-06,108,0.0008580,0.64,0.68
0.0081,1.6e-07,13,0.0002119,0.56,0.67
0.0082,1.6e-07,13,0.0002013,0.56,0.70
0.0095,2.1e-07,17,0.0002542,0.46,0.67
0.0218,3.5e-06,286,0.0017161,0.64,0.65
0.0082,1.6e-07,13,0.0001907,0.56,0.74
0.0113,3.8e-07,31,0.0003284,0.50,0.77
0.0158,1.1e-06,91,0.0007839,0.54,0.66
0.0191,1.6e-06,129,0.0009851,0.43,0.66
0.0086,2.0e-07,16,0.0002330,0.58,0.70
0.0202,1.8e-06,147,0.0011017,0.42,0.65
0.0191,1.7e-06,139,0.0010593,0.46,0.65
0.0095,2.1e-07,17,0.0002542,0.46,0.67
0.0285,8.3e-06,677,0.0030084,0.68,0.66
0.0128,6.0e-07,49,0.0004979,0.54,0.69
0.0168,1.6e-06,132,0.0009851,0.65,0.67
0.0160,1.4e-06,117,0.0009322,0.67,0.66
0.0198,2.2e-06,178,0.0012500,0.53,0.65
0.0108,3.9e-07,32,0.0003919,0.59,0.66
0.0142,9.4e-07,77,0.0006779,0.62,0.68
0.0085,2.0e-07,16,0.0002436,0.60,0.67
0.0157,1.4e-06,111,0.0008792,0.67,0.67
0.0268,6.9e-06,565,0.0026906,0.68,0.65
0.0085,2.0e-07,16,0.0002436,0.60,0.67
0.0249,5.1e-06,422,0.0021716,0.64,0.66
0.0083,2.2e-07,18,0.0002754,0.73,0.64
0.0085,2.1e-07,17,0.0002542,0.64,0.67
0.0163,1.3e-06,106,0.0008474,0.57,0.68
0.0171,1.5e-06,125,0.0010063,0.58,0.64
0.0092,2.0e-07,16,0.0002436,0.48,0.67
0.0302,1.1e-05,868,0.0035698,0.73,0.65
0.0078,1.1e-07,9,0.0001695,0.44,0.65
0.0266,6.9e-06,569,0.0026271,0.70,0.67
0.0087,2.1e-07,17,0.0002330,0.59,0.73
0.0098,3.5e-07,29,0.0003602,0.73,0.67
0.0092,1.8e-07,15,0.0002436,0.45,0.64
0.0078,1.2e-07,10,0.0001695,0.48,0.70
0.0083,1.7e-07,14,0.0002225,0.57,0.67
0.0091,2.7e-07,22,0.0002860,0.68,0.70
0.0153,1.2e-06,99,0.0008051,0.65,0.68
0.0083,1.7e-07,14,0.0002225,0.57,0.67
0.0143,9.4e-07,77,0.0006885,0.62,0.67
0.0287,8.6e-06,706,0.0031355,0.69,0.65
0.0085,1.8e-07,15,0.0002330,0.57,0.67
0.0084,1.7e-07,14,0.0002225,0.54,0.67
0.0087,2.0e-07,16,0.0002330,0.57,0.70
0.0177,1.4e-06,115,0.0009428,0.48,0.64
0.0087,2.1e-07,17,0.0002436,0.61,0.70
0.0082,1.6e-07,13,0.0001907,0.56,0.74
0.0279,5.0e-06,407,0.0021927,0.44,0.64
0.0206,2.0e-06,168,0.0012288,0.45,0.63
0.0087,2.0e-07,16,0.0002330,0.57,0.70
0.0207,2.0e-06,168,0.0012182,0.44,0.64
0.0086,2.0e-07,16,0.0002330,0.58,0.70
0.0194,1.6e-06,133,0.0010593,0.42,0.63
0.0089,2.2e-07,18,0.0002542,0.60,0.69
0.0089,2.2e-07,18,0.0002542,0.60,0.69
0.0276,7.9e-06,649,0.0028707,0.72,0.67
0.0087,2.2e-07,18,0.0002436,0.63,0.72
0.0082,1.7e-07,14,0.0002013,0.60,0.74
0.0087,2.0e-07,16,0.0002330,0.57,0.70
0.0392,5.2e-06,427,0.0027542,0.16,0.53
0.0162,1.5e-06,122,0.0009322,0.67,0.68
0.0257,5.6e-06,461,0.0023411,0.63,0.65
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0156,1.3e-06,103,0.0008686,0.63,0.65
0.0087,2.0e-07,16,0.0002330,0.57,0.70
0.0083,1.7e-07,14,0.0002225,0.57,0.67
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0085,1.8e-07,15,0.0002330,0.57,0.67
0.0083,1.7e-07,14,0.0002119,0.57,0.70
0.0165,1.4e-06,116,0.0009004,0.61,0.68
0.0087,2.2e-07,18,0.0002436,0.63,0.72
0.0083,1.7e-07,14,0.0002225,0.57,0.67
0.0089,2.2e-07,18,0.0002542,0.60,0.69
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0082,1.5e-07,12,0.0001907,0.51,0.70
0.0088,2.1e-07,17,0.0002436,0.58,0.70
0.0083,1.7e-07,14,0.0002119,0.57,0.70
0.0267,6.1e-06,504,0.0025423,0.62,0.64
0.0089,1.8e-07,15,0.0002330,0.50,0.67
0.0076,1.2e-07,10,0.0001589,0.52,0.75
0.0143,9.0e-07,74,0.0006780,0.59,0.67
0.0197,2.1e-06,172,0.0012182,0.52,0.65
0.0082,1.6e-07,13,0.0002119,0.55,0.67
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0082,1.6e-07,13,0.0001907,0.56,0.74
0.0231,4.3e-06,352,0.0019597,0.66,0.65
0.0092,2.1e-07,17,0.0002542,0.51,0.67
0.0082,1.7e-07,14,0.0002013,0.60,0.74
0.0168,1.6e-06,128,0.0009745,0.63,0.67
0.0183,1.9e-06,153,0.0011123,0.58,0.66
0.0132,7.8e-07,64,0.0005720,0.64,0.72
0.0083,1.6e-07,13,0.0002119,0.52,0.67
0.0082,1.6e-07,13,0.0002013,0.56,0.70
0.0196,2.0e-06,166,0.0011758,0.51,0.66
0.0155,1.3e-06,104,0.0008368,0.65,0.68
0.0235,3.9e-06,320,0.0018538,0.57,0.65
0.0105,2.6e-07,21,0.0002754,0.42,0.71
0.0085,1.6e-07,13,0.0002013,0.49,0.70
0.0329,7.8e-06,639,0.0029766,0.42,0.64
0.0082,1.6e-07,13,0.0002013,0.56,0.70
0.0152,1.0e-06,86,0.0007839,0.57,0.64
0.0177,1.4e-06,111,0.0009110,0.47,0.65
0.0266,6.6e-06,539,0.0025847,0.66,0.66
0.0192,2.1e-06,175,0.0011758,0.58,0.68
0.0092,2.2e-07,18,0.0002542,0.54,0.69
0.0082,1.6e-07,13,0.0002013,0.56,0.70
0.0085,1.8e-07,15,0.0002330,0.57,0.67
0.0086,2.0e-07,16,0.0002330,0.58,0.70
0.0152,1.2e-06,99,0.0008368,0.66,0.66
0.0081,1.6e-07,13,0.0002225,0.56,0.64
0.0082,1.7e-07,14,0.0002013,0.60,0.74
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0083,1.7e-07,14,0.0002119,0.57,0.70
0.0197,2.1e-06,171,0.0012182,0.52,0.65
0.0137,8.8e-07,72,0.0006568,0.65,0.67
0.0154,1.2e-06,99,0.0007521,0.63,0.73
0.0209,2.5e-06,207,0.0013771,0.53,0.65
0.0092,2.0e-07,16,0.0002436,0.48,0.67
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0088,2.0e-07,16,0.0002330,0.54,0.70
0.0193,1.9e-06,157,0.0011546,0.51,0.65
0.0087,2.1e-07,17,0.0002331,0.59,0.73
0.0283,8.1e-06,667,0.0029025,0.69,0.67
0.0185,1.9e-06,154,0.0011335,0.57,0.65
0.0092,2.1e-07,17,0.0002542,0.51,0.67
0.0276,6.2e-06,509,0.0025423,0.57,0.64
0.0173,1.4e-06,118,0.0009428,0.53,0.65
0.0148,1.0e-06,83,0.0007203,0.59,0.68
0.0146,1.0e-06,84,0.0006991,0.63,0.70
0.0345,3.4e-06,283,0.0020233,0.16,0.55
0.0211,2.2e-06,179,0.0012817,0.44,0.63
0.0081,1.3e-07,11,0.0001801,0.48,0.70
0.0083,1.7e-07,14,0.0002225,0.57,0.67
0.0082,1.6e-07,13,0.0002119,0.55,0.67
0.0152,1.1e-06,90,0.0007521,0.60,0.68
0.0171,1.5e-06,124,0.0009640,0.57,0.66
0.0083,1.7e-07,14,0.0002330,0.57,0.64
0.0095,1.1e-07,9,0.0001695,0.25,0.65
0.0088,2.3e-07,19,0.0002754,0.64,0.66
0.0081,1.6e-07,13,0.0002119,0.56,0.67
0.0271,6.4e-06,526,0.0025529,0.62,0.65
0.0204,2.3e-06,186,0.0013241,0.51,0.63
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0087,2.0e-07,16,0.0002330,0.57,0.70
0.0243,4.8e-06,392,0.0020656,0.64,0.66
0.0168,1.6e-06,133,0.0009851,0.66,0.68
0.0095,2.1e-07,17,0.0002542,0.46,0.67
0.0165,1.4e-06,111,0.0008580,0.57,0.69
0.0076,1.5e-07,12,0.0001695,0.63,0.79
0.0085,1.8e-07,15,0.0002330,0.57,0.67
0.0148,1.1e-06,92,0.0007627,0.66,0.68
0.0276,7.5e-06,612,0.0027648,0.68,0.67
0.0296,7.8e-06,638,0.0029025,0.57,0.65
0.0082,1.7e-07,14,0.0002013,0.60,0.74
0.0214,2.2e-06,184,0.0012923,0.44,0.64
0.0082,1.6e-07,13,0.0001907,0.56,0.74
0.0203,2.4e-06,200,0.0013135,0.56,0.67
0.0081,1.5e-07,12,0.0002013,0.52,0.67
0.0139,8.9e-07,73,0.0006674,0.64,0.67
0.0224,3.9e-06,322,0.0018856,0.67,0.64
0.0269,5.1e-06,420,0.0022563,0.50,0.64
0.0082,1.7e-07,14,0.0002013,0.60,0.74
0.0086,2.0e-07,16,0.0002330,0.58,0.70
0.0149,1.1e-06,93,0.0007733,0.65,0.68
0.0087,2.1e-07,17,0.0002330,0.59,0.73
0.0289,9.0e-06,738,0.0031885,0.72,0.66
0.0163,1.4e-06,117,0.0009110,0.63,0.67
0.0088,2.0e-07,16,0.0002330,0.54,0.70
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0083,1.7e-07,14,0.0002225,0.57,0.67
0.0272,7.3e-06,598,0.0027648,0.69,0.66
0.0087,2.0e-07,16,0.0002330,0.57,0.70
0.0279,7.2e-06,590,0.0027542,0.63,0.65
0.0152,1.1e-06,93,0.0007733,0.61,0.68
0.0085,1.8e-07,15,0.0002330,0.57,0.67
0.0166,1.4e-06,118,0.0009216,0.60,0.67
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0249,4.9e-06,398,0.0021504,0.60,0.64
0.0250,5.5e-06,452,0.0022457,0.68,0.67
0.0157,1.3e-06,108,0.0008686,0.65,0.67
0.0160,1.4e-06,117,0.0008898,0.67,0.69
0.0180,1.8e-06,146,0.0010699,0.58,0.66
0.0082,1.7e-07,14,0.0002013,0.60,0.74
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0085,1.7e-07,14,0.0002225,0.53,0.67
0.0269,6.9e-06,570,0.0027012,0.68,0.65
0.0148,1.0e-06,84,0.0007203,0.61,0.68
0.0143,1.0e-06,83,0.0006991,0.66,0.70
0.0196,2.1e-06,169,0.0012076,0.52,0.65
0.0215,2.5e-06,202,0.0013453,0.47,0.66
0.0083,1.7e-07,14,0.0002225,0.57,0.67
0.0144,1.0e-06,84,0.0007415,0.65,0.66
0.0081,1.5e-07,12,0.0001907,0.52,0.70
0.0300,1.0e-05,821,0.0034003,0.71,0.66
0.0081,1.6e-07,13,0.0002119,0.56,0.67
0.0082,1.7e-07,14,0.0002013,0.60,0.74
0.0086,2.0e-07,16,0.0002436,0.58,0.67
0.0160,1.3e-06,107,0.0008474,0.61,0.68
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0083,2.1e-07,17,0.0002648,0.69,0.64
0.0169,1.4e-06,115,0.0008792,0.56,0.69
0.0258,6.3e-06,519,0.0024576,0.70,0.67
0.0147,1.0e-06,84,0.0007203,0.62,0.68
0.0240,4.4e-06,363,0.0019385,0.61,0.67
0.0151,1.2e-06,96,0.0008051,0.65,0.67
0.0150,1.2e-06,95,0.0007945,0.65,0.67
0.0246,4.9e-06,405,0.0021927,0.64,0.64
0.0255,5.7e-06,470,0.0023093,0.66,0.67
0.0196,2.3e-06,185,0.0012712,0.57,0.65
0.0085,1.8e-07,15,0.0002330,0.57,0.67
0.0086,2.0e-07,16,0.0002330,0.58,0.70
0.0174,1.7e-06,143,0.0010593,0.63,0.66
0.0151,1.1e-06,92,0.0007839,0.62,0.67
0.0095,2.1e-07,17,0.0002542,0.46,0.67
0.0151,1.1e-06,94,0.0008157,0.64,0.65
0.0163,1.2e-06,101,0.0008263,0.55,0.67
0.0231,4.1e-06,337,0.0018856,0.64,0.66
0.0083,2.0e-07,16,0.0002542,0.65,0.64
0.0083,1.7e-07,14,0.0002330,0.57,0.64
0.0218,2.6e-06,217,0.0014724,0.49,0.63
0.0088,2.1e-07,17,0.0002542,0.57,0.67
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0154,1.2e-06,99,0.0008474,0.63,0.65
0.0096,2.2e-07,18,0.0002648,0.47,0.66
0.0083,2.2e-07,18,0.0002754,0.73,0.64
0.0205,2.6e-06,215,0.0014195,0.58,0.65
0.0082,1.5e-07,12,0.0001907,0.51,0.70
0.0256,5.9e-06,483,0.0023728,0.67,0.66
0.0076,1.5e-07,12,0.0001695,0.63,0.79
0.0191,2.3e-06,187,0.0012500,0.63,0.67
0.0199,2.1e-06,174,0.0012288,0.52,0.65
0.0182,1.9e-06,152,0.0011017,0.59,0.66
0.0180,1.6e-06,134,0.0009957,0.54,0.67
0.0083,2.1e-07,17,0.0002648,0.69,0.64
0.0241,3.9e-06,316,0.0018855,0.52,0.63
0.0157,1.3e-06,106,0.0008686,0.64,0.66
0.0291,8.9e-06,734,0.0031673,0.69,0.66
0.0082,1.5e-07,12,0.0001907,0.51,0.70
0.0218,2.4e-06,194,0.0013241,0.44,0.65
0.0083,1.8e-07,15,0.0002436,0.61,0.64
0.0149,1.1e-06,91,0.0007733,0.64,0.67
0.0162,1.5e-06,120,0.0009428,0.65,0.66
0.0169,1.5e-06,124,0.0009957,0.60,0.64
0.0237,3.3e-06,270,0.0016843,0.47,0.64
0.0136,8.8e-07,72,0.0006356,0.67,0.70
0.0171,1.6e-06,130,0.0009746,0.61,0.67
0.0083,1.7e-07,14,0.0002225,0.57,0.67
0.0143,9.3e-07,76,0.0007097,0.61,0.65
0.0139,9.0e-07,74,0.0006779,0.64,0.67
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0083,1.7e-07,14,0.0002225,0.57,0.67
0.0202,2.6e-06,212,0.0013665,0.60,0.67
0.0085,1.8e-07,15,0.0002330,0.57,0.67
0.0216,2.8e-06,231,0.0014406,0.53,0.67
0.0297,9.3e-06,765,0.0032838,0.68,0.65
0.0086,2.0e-07,16,0.0002330,0.58,0.70
0.0133,7.6e-07,62,0.0005720,0.62,0.70
0.0086,2.0e-07,16,0.0002119,0.58,0.77
0.0182,2.0e-06,160,0.0011546,0.62,0.65
0.0189,1.8e-06,148,0.0011123,0.51,0.64
0.0202,2.2e-06,177,0.0012288,0.50,0.66
0.0183,1.9e-06,157,0.0011334,0.60,0.66
0.0083,1.7e-07,14,0.0002225,0.57,0.67
0.0154,1.1e-06,93,0.0007945,0.59,0.66
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0243,4.7e-06,389,0.0020868,0.63,0.65
0.0205,2.5e-06,201,0.0013559,0.55,0.65
0.0149,1.0e-06,83,0.0007309,0.58,0.67
0.0164,1.3e-06,108,0.0008474,0.57,0.69
0.0289,8.0e-06,659,0.0029448,0.63,0.66
0.0083,1.8e-07,15,0.0002436,0.61,0.64
0.0176,1.3e-06,109,0.0008792,0.47,0.66
0.0085,1.7e-07,14,0.0002225,0.53,0.67
0.0098,2.4e-07,20,0.0002860,0.50,0.66
0.0082,1.6e-07,13,0.0002119,0.55,0.67
0.0151,1.1e-06,90,0.0007627,0.61,0.67
0.0092,2.2e-07,18,0.0002542,0.54,0.69
0.0083,2.0e-07,16,0.0002542,0.65,0.64
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0081,1.6e-07,13,0.0002119,0.56,0.67
0.0087,2.0e-07,16,0.0002330,0.57,0.70
0.0076,1.2e-07,10,0.0001589,0.52,0.75
0.0263,6.1e-06,499,0.0024470,0.64,0.66
0.0089,2.2e-07,18,0.0002542,0.60,0.69
0.0083,1.7e-07,14,0.0002119,0.57,0.70
0.0078,1.5e-07,12,0.0001907,0.58,0.70
0.0083,1.5e-07,12,0.0002013,0.49,0.67
0.0175,1.6e-06,129,0.0009851,0.56,0.66
0.0147,1.1e-06,88,0.0007733,0.64,0.66
0.0149,1.1e-06,87,0.0007627,0.61,0.66
0.0087,2.0e-07,16,0.0002330,0.56,0.70
0.0288,3.2e-06,259,0.0017161,0.25,0.61
0.0082,1.6e-07,13,0.0001907,0.56,0.74
0.0269,6.9e-06,568,0.0026482,0.68,0.66
0.0130,6.8e-07,56,0.0005402,0.59,0.69
0.0092,2.0e-07,16,0.0002436,0.48,0.67
0.0240,4.4e-06,361,0.0019385,0.61,0.67
0.0174,1.8e-06,145,0.0010699,0.64,0.66
0.0086,2.0e-07,16,0.0002436,0.58,0.67
0.0087,2.2e-07,18,0.0002436,0.63,0.72
0.0200,2.0e-06,162,0.0011652,0.47,0.65
0.0089,2.1e-07,17,0.0002436,0.57,0.70
0.0247,5.5e-06,453,0.0022245,0.70,0.68
0.0092,2.0e-07,16,0.0002436,0.48,0.67
0.0206,2.7e-06,219,0.0014406,0.58,0.65
0.0086,2.0e-07,16,0.0002119,0.58,0.77
0.0202,2.8e-06,230,0.0014724,0.65,0.65
0.0296,1.0e-05,855,0.0035169,0.77,0.66
0.0078,1.3e-07,11,0.0001907,0.53,0.66
0.0213,2.5e-06,204,0.0013453,0.49,0.66
0.0297,5.2e-06,426,0.0023516,0.38,0.62
0.0117,4.1e-07,34,0.0004131,0.49,0.65
0.0207,2.5e-06,204,0.0013135,0.54,0.68
0.0211,1.9e-06,154,0.0011546,0.38,0.64
0.0083,2.0e-07,16,0.0002542,0.65,0.64
0.0172,1.5e-06,119,0.0008898,0.55,0.70
0.0249,3.4e-06,282,0.0017690,0.43,0.62
0.0172,1.5e-06,119,0.0009322,0.54,0.66
0.0212,2.6e-06,216,0.0013983,0.53,0.66
0.0217,2.8e-06,227,0.0014406,0.52,0.66
0.0080,1.5e-07,12,0.0002119,0.55,0.63
0.0157,1.3e-06,104,0.0008263,0.62,0.69
0.0242,3.6e-06,292,0.0017796,0.48,0.63
0.0238,4.3e-06,354,0.0019385,0.61,0.66
0.0081,1.5e-07,12,0.0002013,0.52,0.67
0.0227,3.9e-06,322,0.0018538,0.64,0.65
0.0159,1.2e-06,98,0.0007839,0.56,0.69
0.0238,3.5e-06,289,0.0017690,0.50,0.63
0.0215,3.1e-06,257,0.0016313,0.61,0.63
0.0088,2.1e-07,17,0.0002436,0.58,0.70
0.0084,1.8e-07,15,0.0002225,0.58,0.70
0.0292,7.8e-06,638,0.0028495,0.60,0.67
0.0083,1.7e-07,14,0.0002224,0.57,0.67
0.0088,2.1e-07,17,0.0002436,0.58,0.70
0.0231,4.8e-06,395,0.0020974,0.74,0.66
0.0183,1.8e-06,151,0.0011123,0.57,0.65
0.0083,1.8e-07,15,0.0002436,0.61,0.64
0.0164,1.5e-06,125,0.0009428,0.66,0.68
0.0177,1.8e-06,147,0.0011017,0.62,0.65
0.0197,2.6e-06,212,0.0013559,0.65,0.67
0.0169,1.6e-06,135,0.0009746,0.65,0.69
