Radius [mm],Diameter [mm],Volume [mm³],Voxel,Surface [mm²],Compactness,Sphericity
0.0045,0.0090,2.0e-07,12,0.0002345,0.52,0.70
0.0093,0.0186,2.1e-06,128,0.0012376,0.63,0.65
0.0093,0.0187,2.1e-06,128,0.0012246,0.62,0.65
0.0098,0.0197,2.1e-06,128,0.0011985,0.53,0.67
0.0096,0.0191,2.1e-06,128,0.0011855,0.58,0.67
0.0095,0.0190,2.1e-06,128,0.0011985,0.60,0.67
0.0093,0.0186,2.1e-06,128,0.0012116,0.63,0.66
0.0091,0.0182,2.1e-06,128,0.0011985,0.67,0.67
0.0091,0.0183,2.1e-06,128,0.0011985,0.67,0.67
0.0093,0.0186,2.1e-06,128,0.0011855,0.63,0.67
0.0092,0.0185,2.1e-06,128,0.0011855,0.64,0.67
0.0096,0.0192,2.1e-06,128,0.0011985,0.58,0.67
0.0094,0.0189,2.1e-06,128,0.0011985,0.61,0.67
0.0101,0.0202,2.1e-06,128,0.0012376,0.49,0.65
0.0098,0.0196,2.1e-06,128,0.0012116,0.54,0.66
0.0096,0.0192,2.1e-06,128,0.0012116,0.57,0.66
0.0107,0.0214,2.6e-06,158,0.0014200,0.51,0.65
0.0110,0.0220,2.6e-06,158,0.0014070,0.47,0.65
0.0110,0.0220,2.6e-06,158,0.0014070,0.47,0.65
0.0111,0.0222,2.6e-06,158,0.0014200,0.46,0.65
0.0129,0.0257,3.2e-06,190,0.0016806,0.35,0.62
0.0119,0.0239,3.2e-06,190,0.0016284,0.44,0.64
0.0121,0.0241,3.2e-06,190,0.0016284,0.43,0.64
0.0199,0.0397,4.8e-06,291,0.0026316,0.15,0.53
0.0133,0.0266,3.5e-06,211,0.0017587,0.36,0.63
0.0047,0.0094,2.0e-07,12,0.0002475,0.46,0.67
0.0085,0.0169,1.7e-06,100,0.0009640,0.65,0.70
0.0085,0.0169,1.7e-06,100,0.0009771,0.65,0.69
0.0085,0.0169,1.7e-06,100,0.0009640,0.65,0.70
0.0088,0.0176,1.7e-06,100,0.0009771,0.59,0.69
0.0083,0.0166,1.7e-06,100,0.0009901,0.70,0.69
0.0086,0.0173,1.7e-06,100,0.0009640,0.62,0.70
0.0101,0.0202,2.3e-06,138,0.0012767,0.54,0.66
0.0103,0.0205,2.3e-06,138,0.0013158,0.51,0.64
0.0095,0.0190,2.3e-06,138,0.0013158,0.64,0.64
0.0095,0.0191,2.3e-06,138,0.0012506,0.63,0.67
0.0102,0.0204,2.3e-06,138,0.0013028,0.51,0.65
0.0119,0.0237,2.3e-06,138,0.0013549,0.33,0.62
0.0095,0.0191,2.3e-06,138,0.0012767,0.63,0.66
0.0093,0.0187,2.3e-06,138,0.0012897,0.67,0.65
0.0112,0.0224,2.4e-06,146,0.0013549,0.41,0.64
0.0115,0.0230,2.4e-06,146,0.0013288,0.38,0.66
0.0044,0.0087,1.7e-07,10,0.0002215,0.48,0.66
0.0149,0.0298,3.7e-06,223,0.0018890,0.27,0.61
0.0127,0.0254,2.9e-06,177,0.0016284,0.34,0.61
0.0168,0.0336,4.7e-06,282,0.0023710,0.24,0.57
0.0121,0.0242,2.8e-06,168,0.0014721,0.38,0.65
0.0145,0.0290,3.5e-06,210,0.0018499,0.27,0.60
0.0078,0.0156,1.4e-06,83,0.0008598,0.70,0.70
0.0078,0.0156,1.4e-06,83,0.0008468,0.70,0.71
0.0078,0.0157,1.4e-06,83,0.0008598,0.69,0.70
0.0079,0.0159,1.4e-06,83,0.0008598,0.66,0.70
0.0080,0.0159,1.4e-06,83,0.0008728,0.65,0.69
0.0082,0.0163,1.4e-06,83,0.0008728,0.60,0.69
0.0080,0.0160,1.4e-06,83,0.0008598,0.65,0.70
0.0078,0.0156,1.4e-06,83,0.0008468,0.70,0.71
0.0081,0.0161,1.4e-06,83,0.0008598,0.63,0.70
0.0080,0.0160,1.4e-06,83,0.0008338,0.64,0.72
0.0079,0.0158,1.4e-06,83,0.0008598,0.67,0.70
0.0079,0.0158,1.4e-06,83,0.0008598,0.67,0.70
0.0082,0.0164,1.4e-06,83,0.0008728,0.60,0.69
0.0080,0.0160,1.4e-06,83,0.0008598,0.65,0.70
0.0080,0.0161,1.4e-06,83,0.0008468,0.64,0.71
0.0089,0.0177,1.4e-06,83,0.0008859,0.48,0.68
0.0079,0.0158,1.4e-06,83,0.0008728,0.67,0.69
0.0079,0.0158,1.4e-06,83,0.0008598,0.66,0.70
0.0081,0.0161,1.4e-06,83,0.0008728,0.63,0.69
0.0079,0.0159,1.4e-06,83,0.0008468,0.66,0.71
0.0080,0.0159,1.4e-06,83,0.0008728,0.65,0.69
0.0080,0.0160,1.4e-06,83,0.0008728,0.65,0.69
0.0079,0.0158,1.4e-06,83,0.0008338,0.66,0.72
0.0079,0.0158,1.4e-06,83,0.0008468,0.66,0.71
0.0078,0.0156,1.4e-06,83,0.0008468,0.70,0.71
0.0087,0.0173,1.4e-06,83,0.0008468,0.51,0.71
0.0080,0.0160,1.4e-06,83,0.0008468,0.64,0.71
0.0080,0.0160,1.4e-06,83,0.0008598,0.65,0.70
0.0079,0.0158,1.4e-06,83,0.0008728,0.67,0.69
0.0108,0.0217,2.6e-06,157,0.0013809,0.49,0.66
0.0120,0.0241,2.6e-06,157,0.0014200,0.36,0.65
0.0112,0.0225,2.6e-06,157,0.0013809,0.44,0.66
0.0110,0.0221,2.6e-06,157,0.0013809,0.46,0.66
0.0107,0.0214,2.6e-06,157,0.0014461,0.51,0.63
0.0107,0.0215,2.6e-06,157,0.0013939,0.50,0.66
0.0089,0.0178,1.8e-06,109,0.0010683,0.62,0.67
0.0086,0.0172,1.8e-06,109,0.0010422,0.68,0.69
0.0094,0.0188,1.8e-06,109,0.0010683,0.52,0.67
0.0088,0.0176,1.8e-06,109,0.0010943,0.64,0.66
0.0088,0.0175,1.8e-06,109,0.0010683,0.64,0.67
0.0087,0.0174,1.8e-06,109,0.0010552,0.66,0.68
0.0089,0.0177,1.8e-06,109,0.0010292,0.62,0.70
0.0087,0.0175,1.8e-06,109,0.0010683,0.65,0.67
0.0086,0.0172,1.8e-06,109,0.0010292,0.68,0.70
0.0086,0.0172,1.8e-06,109,0.0010292,0.68,0.70
0.0086,0.0172,1.8e-06,109,0.0010422,0.68,0.69
0.0086,0.0173,1.8e-06,109,0.0010552,0.67,0.68
0.0086,0.0172,1.8e-06,109,0.0010813,0.68,0.66
0.0087,0.0174,1.8e-06,109,0.0010943,0.66,0.66
0.0088,0.0175,1.8e-06,109,0.0010813,0.64,0.66
0.0087,0.0175,1.8e-06,109,0.0010422,0.65,0.69
0.0085,0.0170,1.8e-06,109,0.0010813,0.70,0.66
0.0088,0.0176,1.8e-06,109,0.0010683,0.63,0.67
0.0086,0.0172,1.8e-06,109,0.0010683,0.69,0.67
0.0087,0.0173,1.8e-06,109,0.0010813,0.67,0.66
0.0087,0.0174,1.8e-06,109,0.0010683,0.65,0.67
0.0087,0.0174,1.8e-06,109,0.0010683,0.66,0.67
0.0087,0.0174,1.8e-06,109,0.0010683,0.65,0.67
0.0088,0.0176,1.8e-06,109,0.0010552,0.63,0.68
0.0086,0.0172,1.8e-06,109,0.0010292,0.68,0.70
0.0090,0.0180,1.8e-06,109,0.0010552,0.59,0.68
0.0087,0.0175,1.8e-06,109,0.0010422,0.65,0.69
0.0085,0.0171,1.8e-06,109,0.0010683,0.69,0.67
0.0086,0.0172,1.8e-06,109,0.0010943,0.69,0.66
0.0085,0.0171,1.8e-06,109,0.0010813,0.70,0.66
0.0087,0.0173,1.8e-06,109,0.0011073,0.67,0.65
0.0089,0.0177,1.8e-06,109,0.0010552,0.62,0.68
0.0085,0.0170,1.8e-06,109,0.0010813,0.70,0.66
0.0091,0.0182,1.8e-06,109,0.0010683,0.57,0.67
0.0086,0.0172,1.8e-06,109,0.0010292,0.68,0.70
0.0086,0.0173,1.8e-06,109,0.0011073,0.67,0.65
0.0087,0.0173,1.8e-06,109,0.0010422,0.67,0.69
0.0088,0.0175,1.8e-06,109,0.0010552,0.64,0.68
0.0091,0.0182,1.8e-06,109,0.0010422,0.57,0.69
0.0089,0.0178,1.8e-06,109,0.0010552,0.61,0.68
0.0087,0.0173,1.8e-06,109,0.0010813,0.67,0.66
0.0103,0.0206,1.8e-06,109,0.0010813,0.40,0.66
0.0092,0.0184,1.8e-06,109,0.0010943,0.56,0.66
0.0092,0.0184,1.8e-06,109,0.0010552,0.55,0.68
0.0087,0.0174,1.8e-06,109,0.0010292,0.66,0.70
0.0090,0.0180,1.8e-06,109,0.0010683,0.60,0.67
0.0087,0.0175,1.8e-06,109,0.0010683,0.65,0.67
0.0087,0.0174,1.8e-06,109,0.0011073,0.65,0.65
0.0087,0.0173,1.8e-06,109,0.0011073,0.67,0.65
0.0085,0.0171,1.8e-06,109,0.0010943,0.69,0.66
0.0092,0.0184,1.8e-06,109,0.0010813,0.55,0.66
0.0085,0.0170,1.8e-06,109,0.0010813,0.70,0.66
0.0088,0.0175,1.8e-06,109,0.0010552,0.64,0.68
0.0087,0.0174,1.8e-06,109,0.0010683,0.66,0.67
0.0087,0.0174,1.8e-06,109,0.0010683,0.66,0.67
0.0087,0.0174,1.8e-06,109,0.0010943,0.65,0.66
0.0086,0.0172,1.8e-06,109,0.0010813,0.68,0.66
0.0085,0.0171,1.8e-06,109,0.0010943,0.69,0.66
0.0095,0.0190,1.8e-06,109,0.0011073,0.50,0.65
0.0087,0.0173,1.8e-06,109,0.0011073,0.67,0.65
0.0042,0.0083,1.3e-07,8,0.0001954,0.44,0.64
0.0042,0.0085,1.3e-07,8,0.0001824,0.42,0.69
0.0182,0.0364,4.8e-06,289,0.0026185,0.19,0.53
0.0092,0.0183,2.1e-06,127,0.0011985,0.66,0.66
0.0094,0.0188,2.1e-06,127,0.0011985,0.60,0.66
0.0102,0.0203,2.1e-06,127,0.0012116,0.48,0.66
0.0091,0.0183,2.1e-06,127,0.0011855,0.66,0.67
0.0093,0.0186,2.1e-06,127,0.0011985,0.62,0.66
0.0091,0.0182,2.1e-06,127,0.0012116,0.66,0.66
0.0096,0.0193,2.1e-06,127,0.0011985,0.56,0.66
0.0097,0.0194,2.1e-06,127,0.0011985,0.55,0.66
0.0093,0.0186,2.1e-06,127,0.0012246,0.63,0.65
0.0095,0.0189,2.1e-06,127,0.0012116,0.59,0.66
0.0095,0.0190,2.1e-06,127,0.0011985,0.58,0.66
0.0091,0.0182,2.1e-06,127,0.0011985,0.66,0.66
0.0093,0.0186,2.1e-06,127,0.0012116,0.63,0.66
0.0100,0.0201,2.1e-06,127,0.0011985,0.50,0.66
0.0092,0.0184,2.1e-06,127,0.0011985,0.64,0.66
0.0101,0.0202,2.1e-06,127,0.0011595,0.49,0.69
0.0095,0.0189,2.1e-06,127,0.0011725,0.59,0.68
0.0105,0.0209,2.1e-06,127,0.0011985,0.44,0.66
0.0105,0.0209,2.1e-06,127,0.0012246,0.44,0.65
0.0093,0.0186,2.1e-06,127,0.0012246,0.62,0.65
0.0101,0.0203,2.1e-06,127,0.0012246,0.48,0.65
0.0093,0.0185,2.1e-06,127,0.0011855,0.63,0.67
0.0092,0.0184,2.1e-06,127,0.0011855,0.65,0.67
0.0108,0.0217,2.4e-06,145,0.0013288,0.45,0.65
0.0109,0.0218,2.4e-06,145,0.0013418,0.45,0.65
0.0111,0.0221,2.4e-06,145,0.0013549,0.43,0.64
0.0095,0.0190,2.3e-06,137,0.0012637,0.64,0.66
0.0097,0.0194,2.3e-06,137,0.0012897,0.59,0.65
0.0098,0.0197,2.3e-06,137,0.0012767,0.57,0.66
0.0101,0.0203,2.3e-06,137,0.0012897,0.52,0.65
0.0094,0.0188,2.3e-06,137,0.0012637,0.65,0.66
0.0095,0.0189,2.3e-06,137,0.0013028,0.64,0.64
0.0098,0.0196,2.3e-06,137,0.0012506,0.58,0.67
0.0096,0.0191,2.3e-06,137,0.0012767,0.62,0.66
0.0105,0.0210,2.3e-06,137,0.0012376,0.47,0.68
0.0098,0.0196,2.3e-06,137,0.0012897,0.58,0.65
0.0101,0.0201,2.3e-06,137,0.0012637,0.53,0.66
0.0095,0.0190,2.3e-06,137,0.0012767,0.63,0.66
0.0101,0.0203,2.3e-06,137,0.0012767,0.52,0.66
0.0094,0.0188,2.3e-06,137,0.0012897,0.66,0.65
0.0095,0.0190,2.3e-06,137,0.0012897,0.64,0.65
0.0097,0.0194,2.3e-06,137,0.0012767,0.60,0.66
0.0054,0.0108,3.3e-07,20,0.0003648,0.50,0.64
0.0128,0.0256,2.7e-06,163,0.0014461,0.31,0.65
0.0118,0.0237,2.9e-06,176,0.0015242,0.42,0.65
0.0086,0.0172,1.6e-06,99,0.0009640,0.62,0.70
0.0087,0.0175,1.6e-06,99,0.0009510,0.59,0.71
0.0083,0.0166,1.6e-06,99,0.0009771,0.68,0.69
0.0090,0.0180,1.6e-06,99,0.0009640,0.54,0.70
0.0088,0.0175,1.6e-06,99,0.0009640,0.59,0.70
0.0112,0.0224,2.6e-06,156,0.0014330,0.44,0.64
0.0113,0.0225,2.6e-06,156,0.0014591,0.43,0.63
0.0116,0.0233,2.6e-06,156,0.0014070,0.39,0.65
0.0054,0.0108,3.7e-07,22,0.0003517,0.55,0.70
0.0154,0.0307,3.5e-06,208,0.0018760,0.23,0.59
0.0042,0.0085,1.8e-07,11,0.0002084,0.58,0.75
0.0031,0.0063,1.3e-07,8,0.0001563,1.00,0.81
0.0089,0.0177,1.8e-06,108,0.0010422,0.62,0.69
0.0091,0.0183,2.1e-06,126,0.0011985,0.65,0.66
0.0103,0.0206,2.1e-06,126,0.0011725,0.46,0.68
0.0087,0.0174,1.8e-06,108,0.0010552,0.65,0.68
0.0094,0.0188,1.8e-06,108,0.0010813,0.52,0.66
0.0091,0.0181,1.8e-06,108,0.0010422,0.58,0.69
0.0094,0.0188,2.1e-06,126,0.0012246,0.60,0.65
0.0088,0.0176,1.8e-06,108,0.0010422,0.63,0.69
0.0087,0.0174,1.8e-06,108,0.0010552,0.65,0.68
0.0085,0.0170,1.8e-06,108,0.0010943,0.70,0.65
0.0089,0.0178,1.8e-06,108,0.0010683,0.61,0.67
0.0086,0.0172,1.8e-06,108,0.0010422,0.67,0.69
0.0088,0.0175,1.8e-06,108,0.0010292,0.64,0.69
0.0089,0.0179,1.8e-06,108,0.0010683,0.60,0.67
0.0098,0.0196,2.1e-06,126,0.0012116,0.53,0.65
0.0087,0.0174,1.8e-06,108,0.0010943,0.65,0.65
0.0087,0.0174,1.8e-06,108,0.0010552,0.65,0.68
0.0097,0.0195,2.1e-06,126,0.0011725,0.54,0.68
0.0100,0.0201,2.1e-06,126,0.0011855,0.49,0.67
0.0086,0.0172,1.8e-06,108,0.0010943,0.67,0.65
0.0094,0.0188,1.8e-06,108,0.0010422,0.52,0.69
0.0096,0.0192,1.8e-06,108,0.0010813,0.48,0.66
0.0092,0.0185,2.1e-06,126,0.0011855,0.63,0.67
0.0096,0.0193,2.1e-06,126,0.0012116,0.56,0.65
0.0090,0.0180,1.8e-06,108,0.0010943,0.59,0.65
0.0086,0.0172,1.8e-06,108,0.0010813,0.68,0.66
0.0088,0.0177,1.8e-06,108,0.0010031,0.62,0.71
0.0087,0.0174,1.8e-06,108,0.0010292,0.65,0.69
0.0087,0.0174,1.8e-06,108,0.0010683,0.65,0.67
0.0086,0.0171,1.8e-06,108,0.0010422,0.68,0.69
0.0087,0.0173,1.8e-06,108,0.0010943,0.66,0.65
0.0086,0.0172,1.8e-06,108,0.0010422,0.67,0.69
0.0086,0.0172,1.8e-06,108,0.0010552,0.67,0.68
0.0094,0.0189,2.1e-06,126,0.0011725,0.59,0.68
0.0096,0.0191,2.1e-06,126,0.0012246,0.57,0.65
0.0092,0.0185,2.1e-06,126,0.0011855,0.63,0.67
0.0096,0.0192,2.1e-06,126,0.0011595,0.57,0.68
0.0093,0.0186,2.1e-06,126,0.0011725,0.62,0.68
0.0088,0.0176,1.8e-06,108,0.0010552,0.63,0.68
0.0085,0.0171,1.8e-06,108,0.0010813,0.69,0.66
0.0094,0.0188,2.1e-06,126,0.0011855,0.60,0.67
0.0087,0.0174,1.8e-06,108,0.0010683,0.65,0.67
0.0088,0.0176,1.8e-06,108,0.0010422,0.63,0.69
0.0087,0.0174,1.8e-06,108,0.0010292,0.65,0.69
0.0095,0.0190,2.1e-06,126,0.0011595,0.58,0.68
0.0131,0.0263,2.7e-06,162,0.0014721,0.28,0.64
0.0090,0.0181,2.1e-06,126,0.0011855,0.68,0.67
0.0092,0.0185,2.1e-06,126,0.0011855,0.63,0.67
0.0093,0.0186,2.1e-06,126,0.0011725,0.62,0.68
0.0087,0.0174,1.8e-06,108,0.0010422,0.65,0.69
0.0099,0.0199,2.1e-06,126,0.0011985,0.51,0.66
0.0089,0.0177,1.8e-06,108,0.0010422,0.62,0.69
0.0095,0.0190,2.1e-06,126,0.0011985,0.59,0.66
0.0091,0.0182,2.1e-06,126,0.0011985,0.66,0.66
0.0086,0.0172,1.8e-06,108,0.0010813,0.67,0.66
0.0104,0.0207,2.1e-06,126,0.0012116,0.45,0.65
0.0087,0.0174,1.8e-06,108,0.0010683,0.65,0.67
0.0091,0.0183,2.1e-06,126,0.0011594,0.66,0.68
0.0087,0.0175,1.8e-06,108,0.0010683,0.64,0.67
0.0100,0.0201,1.8e-06,108,0.0011204,0.43,0.64
0.0089,0.0178,1.8e-06,108,0.0010943,0.60,0.65
0.0090,0.0180,1.8e-06,108,0.0010943,0.59,0.65
0.0091,0.0181,1.8e-06,108,0.0010683,0.58,0.67
0.0104,0.0208,2.1e-06,126,0.0012506,0.44,0.63
0.0091,0.0182,1.8e-06,108,0.0011073,0.57,0.65
0.0091,0.0181,1.8e-06,108,0.0010813,0.58,0.66
0.0086,0.0171,1.8e-06,108,0.0010422,0.68,0.69
0.0087,0.0174,1.8e-06,108,0.0010552,0.65,0.68
0.0087,0.0173,1.8e-06,108,0.0010683,0.66,0.67
0.0098,0.0197,1.9e-06,115,0.0010813,0.48,0.69
0.0101,0.0203,1.9e-06,115,0.0011204,0.44,0.66
0.0133,0.0266,3.1e-06,187,0.0016936,0.32,0.61
0.0093,0.0187,2.3e-06,136,0.0013028,0.66,0.64
0.0094,0.0188,2.3e-06,136,0.0012767,0.65,0.65
0.0094,0.0188,2.3e-06,136,0.0012767,0.65,0.65
0.0111,0.0222,2.3e-06,136,0.0012897,0.40,0.65
0.0113,0.0226,2.3e-06,136,0.0013288,0.37,0.63
0.0094,0.0188,2.3e-06,136,0.0012637,0.65,0.66
0.0095,0.0189,2.3e-06,136,0.0012637,0.64,0.66
0.0094,0.0188,2.3e-06,136,0.0012637,0.65,0.66
0.0096,0.0193,2.3e-06,136,0.0012637,0.60,0.66
0.0100,0.0200,2.3e-06,136,0.0013288,0.54,0.63
0.0101,0.0202,2.3e-06,136,0.0013028,0.52,0.64
0.0093,0.0185,2.3e-06,136,0.0012506,0.68,0.67
0.0094,0.0187,2.3e-06,136,0.0012376,0.66,0.67
0.0097,0.0194,2.3e-06,136,0.0012506,0.59,0.67
0.0114,0.0228,2.3e-06,136,0.0013679,0.36,0.61
0.0080,0.0161,1.4e-06,82,0.0008598,0.63,0.69
0.0078,0.0157,1.4e-06,82,0.0008598,0.68,0.69
0.0078,0.0156,1.4e-06,82,0.0008598,0.69,0.69
0.0079,0.0158,1.4e-06,82,0.0008598,0.66,0.69
0.0077,0.0154,1.4e-06,82,0.0008338,0.71,0.71
0.0080,0.0159,1.4e-06,82,0.0008598,0.64,0.69
0.0079,0.0159,1.4e-06,82,0.0008598,0.65,0.69
0.0083,0.0166,1.4e-06,82,0.0008598,0.57,0.69
0.0078,0.0156,1.4e-06,82,0.0008598,0.69,0.69
0.0079,0.0158,1.4e-06,82,0.0008468,0.65,0.70
0.0079,0.0158,1.4e-06,82,0.0008338,0.65,0.71
0.0078,0.0156,1.4e-06,82,0.0008598,0.69,0.69
0.0079,0.0158,1.4e-06,82,0.0008728,0.66,0.68
0.0082,0.0163,1.4e-06,82,0.0008728,0.60,0.68
0.0078,0.0156,1.4e-06,82,0.0008468,0.69,0.70
0.0079,0.0158,1.4e-06,82,0.0008859,0.65,0.67
0.0078,0.0157,1.4e-06,82,0.0008468,0.68,0.70
0.0080,0.0160,1.4e-06,82,0.0008598,0.64,0.69
0.0077,0.0154,1.4e-06,82,0.0008338,0.71,0.71
0.0170,0.0341,4.4e-06,264,0.0023840,0.21,0.54
0.0134,0.0268,3.2e-06,194,0.0016806,0.32,0.63
0.0042,0.0085,1.3e-07,8,0.0001824,0.42,0.69
0.0111,0.0222,2.6e-06,155,0.0014460,0.45,0.63
0.0111,0.0223,2.6e-06,155,0.0014200,0.44,0.64
0.0107,0.0214,2.6e-06,155,0.0013418,0.51,0.68
0.0114,0.0227,2.6e-06,155,0.0014200,0.42,0.64
0.0141,0.0283,3.4e-06,207,0.0018108,0.29,0.61
0.0041,0.0083,1.3e-07,8,0.0001824,0.45,0.69
0.0042,0.0085,1.5e-07,9,0.0001954,0.47,0.70
0.0086,0.0172,1.6e-06,98,0.0009901,0.61,0.68
0.0086,0.0173,1.6e-06,98,0.0009901,0.61,0.68
0.0083,0.0166,1.6e-06,98,0.0009640,0.69,0.69
0.0085,0.0169,1.6e-06,98,0.0009640,0.64,0.69
0.0085,0.0169,1.6e-06,98,0.0009771,0.64,0.69
0.0089,0.0179,1.6e-06,98,0.0009510,0.54,0.70
0.0085,0.0170,1.6e-06,98,0.0009640,0.64,0.69
0.0086,0.0172,1.6e-06,98,0.0009901,0.61,0.68
0.0086,0.0173,1.6e-06,98,0.0009901,0.61,0.68
0.0087,0.0173,1.6e-06,98,0.0009640,0.60,0.69
0.0085,0.0169,1.6e-06,98,0.0009640,0.64,0.69
0.0083,0.0165,1.6e-06,98,0.0009380,0.69,0.71
0.0087,0.0174,1.6e-06,98,0.0009771,0.59,0.69
0.0090,0.0179,1.6e-06,98,0.0009640,0.54,0.69
0.0085,0.0169,1.6e-06,98,0.0009510,0.64,0.70
0.0085,0.0169,1.6e-06,98,0.0009510,0.64,0.70
0.0085,0.0169,1.6e-06,98,0.0009640,0.64,0.69
0.0083,0.0166,1.6e-06,98,0.0009640,0.69,0.69
0.0085,0.0169,1.6e-06,98,0.0009640,0.64,0.69
0.0046,0.0092,1.8e-07,11,0.0002475,0.45,0.63
0.0120,0.0241,2.7e-06,165,0.0014982,0.38,0.63
0.0118,0.0236,2.7e-06,165,0.0014721,0.40,0.64
0.0094,0.0188,2.1e-06,125,0.0011855,0.60,0.66
0.0092,0.0184,2.1e-06,125,0.0011464,0.64,0.69
0.0094,0.0188,2.1e-06,125,0.0011725,0.60,0.67
0.0106,0.0212,2.1e-06,125,0.0011334,0.42,0.69
0.0104,0.0207,2.1e-06,125,0.0012376,0.45,0.64
0.0101,0.0201,2.1e-06,125,0.0011595,0.49,0.68
0.0105,0.0209,2.1e-06,125,0.0011855,0.43,0.66
0.0095,0.0189,2.1e-06,125,0.0011985,0.58,0.66
0.0096,0.0192,2.1e-06,125,0.0011855,0.56,0.66
0.0093,0.0186,2.1e-06,125,0.0012116,0.62,0.65
0.0104,0.0209,2.1e-06,125,0.0012116,0.44,0.65
0.0103,0.0206,2.1e-06,125,0.0011985,0.46,0.66
0.0095,0.0191,2.1e-06,125,0.0011985,0.57,0.66
0.0091,0.0183,2.1e-06,125,0.0011985,0.65,0.66
0.0099,0.0198,2.1e-06,125,0.0012116,0.51,0.65
0.0096,0.0193,2.1e-06,125,0.0011725,0.55,0.67
0.0093,0.0186,2.1e-06,125,0.0011855,0.62,0.66
0.0098,0.0197,2.1e-06,125,0.0011985,0.52,0.66
0.0096,0.0192,2.1e-06,125,0.0011855,0.56,0.66
0.0106,0.0211,2.2e-06,135,0.0012897,0.45,0.64
0.0099,0.0199,2.2e-06,135,0.0012767,0.55,0.65
0.0094,0.0188,2.2e-06,135,0.0012637,0.65,0.66
0.0103,0.0205,2.2e-06,135,0.0012897,0.49,0.64
0.0099,0.0198,2.2e-06,135,0.0012506,0.55,0.66
0.0102,0.0204,2.2e-06,135,0.0013418,0.50,0.62
0.0105,0.0209,2.2e-06,135,0.0012637,0.47,0.66
0.0097,0.0193,2.2e-06,135,0.0012637,0.59,0.66
0.0108,0.0215,2.2e-06,135,0.0012767,0.43,0.65
0.0169,0.0338,3.9e-06,232,0.0020453,0.19,0.58
0.0053,0.0105,2.0e-07,12,0.0002475,0.33,0.67
0.0054,0.0108,2.2e-07,13,0.0002605,0.33,0.67
0.0040,0.0081,1.3e-07,8,0.0001954,0.48,0.64
0.0086,0.0171,1.8e-06,107,0.0010162,0.68,0.70
0.0091,0.0182,1.8e-06,107,0.0010422,0.57,0.68
0.0088,0.0176,1.8e-06,107,0.0010161,0.62,0.70
0.0087,0.0175,1.8e-06,107,0.0010292,0.63,0.69
0.0087,0.0173,1.8e-06,107,0.0010552,0.66,0.67
0.0088,0.0176,1.8e-06,107,0.0010292,0.63,0.69
0.0086,0.0171,1.8e-06,107,0.0010552,0.68,0.67
0.0089,0.0178,1.8e-06,107,0.0010552,0.60,0.67
0.0087,0.0173,1.8e-06,107,0.0010552,0.66,0.67
0.0088,0.0176,1.8e-06,107,0.0010552,0.63,0.67
0.0088,0.0175,1.8e-06,107,0.0010552,0.63,0.67
0.0087,0.0175,1.8e-06,107,0.0010422,0.64,0.68
0.0089,0.0179,1.8e-06,107,0.0010813,0.59,0.66
0.0087,0.0174,1.8e-06,107,0.0010422,0.64,0.68
0.0086,0.0173,1.8e-06,107,0.0010683,0.66,0.66
0.0098,0.0195,1.8e-06,107,0.0010813,0.46,0.66
0.0087,0.0173,1.8e-06,107,0.0010813,0.65,0.66
0.0087,0.0173,1.8e-06,107,0.0010943,0.66,0.65
0.0086,0.0172,1.8e-06,107,0.0010943,0.67,0.65
0.0087,0.0173,1.8e-06,107,0.0010813,0.65,0.66
0.0088,0.0176,1.8e-06,107,0.0010422,0.62,0.68
0.0091,0.0182,1.8e-06,107,0.0010422,0.56,0.68
0.0086,0.0172,1.8e-06,107,0.0010552,0.67,0.67
0.0088,0.0175,1.8e-06,107,0.0010422,0.63,0.68
0.0087,0.0175,1.8e-06,107,0.0010292,0.63,0.69
0.0089,0.0178,1.8e-06,107,0.0010552,0.61,0.67
0.0093,0.0186,1.8e-06,107,0.0010813,0.53,0.66
0.0092,0.0184,1.8e-06,107,0.0010943,0.54,0.65
0.0095,0.0189,1.8e-06,107,0.0010683,0.50,0.66
0.0089,0.0179,1.8e-06,107,0.0010422,0.60,0.68
0.0089,0.0178,1.8e-06,107,0.0010552,0.60,0.67
0.0087,0.0175,1.8e-06,107,0.0010292,0.64,0.69
0.0086,0.0173,1.8e-06,107,0.0010683,0.66,0.66
0.0087,0.0174,1.8e-06,107,0.0010813,0.65,0.66
0.0085,0.0171,1.8e-06,107,0.0010813,0.68,0.66
0.0111,0.0222,2.6e-06,154,0.0013939,0.44,0.65
0.0109,0.0217,2.6e-06,154,0.0013939,0.48,0.65
0.0044,0.0087,2.0e-07,12,0.0002605,0.57,0.63
0.0124,0.0247,2.9e-06,173,0.0015763,0.36,0.62
0.0126,0.0253,3.3e-06,196,0.0016675,0.38,0.64
0.0119,0.0238,2.7e-06,160,0.0013809,0.38,0.67
0.0071,0.0142,9.6e-07,58,0.0006253,0.64,0.75
0.0110,0.0220,2.7e-06,164,0.0014591,0.49,0.65
0.0078,0.0156,1.3e-06,81,0.0008598,0.68,0.69
0.0077,0.0153,1.3e-06,81,0.0008728,0.71,0.68
0.0077,0.0154,1.3e-06,81,0.0008338,0.70,0.71
0.0080,0.0161,1.3e-06,81,0.0008338,0.62,0.71
0.0079,0.0158,1.3e-06,81,0.0008468,0.66,0.70
0.0081,0.0161,1.3e-06,81,0.0008468,0.61,0.70
