Radius [mm],Diameter [mm],Volume [mm³],Voxel,Surface [mm²],Compactness,Sphericity
0.0260,0.0521,4.9e-05,2969,0.0098488,0.67,0.66
0.0243,0.0486,4.5e-05,2733,0.0092756,0.75,0.66
0.0316,0.0632,5.9e-05,3537,0.0110995,0.45,0.66
0.0382,0.0764,7.6e-05,4582,0.0141609,0.33,0.61
0.0571,0.1142,1.4e-04,8170,0.0253125,0.17,0.50
0.0252,0.0503,4.3e-05,2562,0.0088457,0.64,0.67
0.0263,0.0526,4.9e-05,2946,0.0102527,0.64,0.63
0.0347,0.0693,7.0e-05,4183,0.0131709,0.40,0.62
0.0568,0.1135,1.1e-04,6909,0.0214173,0.15,0.53
0.0242,0.0484,4.5e-05,2708,0.0090411,0.76,0.68
0.0319,0.0637,5.5e-05,3308,0.0108780,0.41,0.64
0.0259,0.0519,4.5e-05,2705,0.0091193,0.61,0.67
0.0337,0.0674,6.9e-05,4167,0.0133532,0.43,0.61
0.0370,0.0740,7.1e-05,4253,0.0146169,0.33,0.57
0.0256,0.0513,4.6e-05,2766,0.0093408,0.65,0.66
0.0308,0.0617,4.8e-05,2916,0.0099140,0.40,0.65
0.0277,0.0554,5.5e-05,3311,0.0109692,0.62,0.64
0.0370,0.0741,6.5e-05,3881,0.0128061,0.30,0.61
0.0318,0.0636,6.1e-05,3678,0.0119332,0.45,0.63
0.0238,0.0477,4.2e-05,2529,0.0087936,0.74,0.66
0.0374,0.0747,7.0e-05,4238,0.0146821,0.32,0.56
0.0242,0.0484,4.4e-05,2673,0.0091584,0.75,0.66
0.0248,0.0496,4.2e-05,2521,0.0087936,0.66,0.66
0.0245,0.0489,4.2e-05,2513,0.0087806,0.68,0.66
0.0553,0.1106,1.1e-04,6568,0.0202969,0.15,0.54
0.0296,0.0593,4.9e-05,2955,0.0100442,0.45,0.65
0.0351,0.0702,7.1e-05,4276,0.0139134,0.39,0.60
0.0336,0.0672,6.0e-05,3631,0.0120244,0.38,0.62
0.0477,0.0953,1.0e-04,6237,0.0192808,0.23,0.55
0.0270,0.0539,5.0e-05,3021,0.0100442,0.61,0.66
0.0467,0.0934,9.7e-05,5838,0.0181343,0.23,0.56
0.0246,0.0492,4.4e-05,2636,0.0089890,0.70,0.67
0.0310,0.0620,5.4e-05,3250,0.0112167,0.43,0.62
0.0247,0.0495,4.1e-05,2486,0.0086373,0.65,0.67
0.0417,0.0835,9.0e-05,5424,0.0183819,0.30,0.53
0.0249,0.0498,4.4e-05,2629,0.0089109,0.68,0.67
0.0250,0.0501,4.0e-05,2407,0.0083897,0.61,0.67
0.0278,0.0556,4.1e-05,2481,0.0087936,0.46,0.66
0.0343,0.0686,6.1e-05,3640,0.0120635,0.36,0.62
0.0245,0.0490,4.1e-05,2478,0.0086503,0.67,0.67
0.0258,0.0517,4.4e-05,2620,0.0089499,0.60,0.67
0.0250,0.0501,4.7e-05,2841,0.0096143,0.72,0.66
0.0243,0.0487,4.3e-05,2615,0.0090411,0.72,0.66
0.0250,0.0501,4.5e-05,2690,0.0091453,0.68,0.67
0.0285,0.0570,4.6e-05,2757,0.0094710,0.47,0.65
0.0497,0.0993,9.3e-05,5584,0.0181344,0.18,0.55
0.0325,0.0650,6.3e-05,3766,0.0124022,0.43,0.61
0.0241,0.0483,4.1e-05,2459,0.0086242,0.69,0.67
0.0228,0.0456,3.4e-05,2032,0.0075039,0.68,0.67
0.0429,0.0858,8.1e-05,4871,0.0156070,0.24,0.58
0.0224,0.0448,3.7e-05,2231,0.0080119,0.79,0.67
0.0279,0.0558,5.3e-05,3189,0.0104351,0.58,0.65
0.0298,0.0596,5.0e-05,3036,0.0100963,0.45,0.65
0.0330,0.0661,5.9e-05,3572,0.0119202,0.39,0.62
0.0402,0.0804,8.0e-05,4822,0.0168446,0.29,0.53
0.0248,0.0496,4.0e-05,2429,0.0085591,0.63,0.67
0.0311,0.0622,5.0e-05,3021,0.0104611,0.40,0.63
0.0276,0.0552,4.1e-05,2493,0.0088457,0.47,0.65
0.0257,0.0514,4.3e-05,2566,0.0090541,0.60,0.65
0.0262,0.0525,4.0e-05,2421,0.0086633,0.53,0.66
0.0244,0.0488,4.3e-05,2563,0.0089760,0.70,0.66
0.0324,0.0648,5.5e-05,3318,0.0112167,0.39,0.62
0.0230,0.0461,3.7e-05,2205,0.0079468,0.71,0.67
0.0228,0.0455,3.7e-05,2205,0.0079859,0.74,0.67
0.0266,0.0532,3.9e-05,2340,0.0083897,0.49,0.66
0.0276,0.0551,4.6e-05,2773,0.0095231,0.53,0.65
0.0241,0.0482,4.2e-05,2553,0.0089239,0.73,0.66
0.0238,0.0476,3.9e-05,2338,0.0083116,0.69,0.67
0.0248,0.0496,3.5e-05,2129,0.0077123,0.55,0.68
0.0239,0.0478,4.0e-05,2404,0.0084549,0.70,0.67
0.0254,0.0507,4.5e-05,2678,0.0092365,0.65,0.66
0.0484,0.0968,1.0e-04,6179,0.0192938,0.22,0.55
0.0286,0.0573,4.8e-05,2892,0.0097576,0.49,0.66
0.0224,0.0448,3.6e-05,2181,0.0079077,0.77,0.67
0.0246,0.0492,4.4e-05,2666,0.0091193,0.71,0.66
0.0236,0.0472,3.8e-05,2312,0.0082725,0.70,0.67
0.0229,0.0459,3.8e-05,2311,0.0082334,0.76,0.67
0.0326,0.0652,5.4e-05,3270,0.0110213,0.37,0.63
0.0230,0.0461,3.6e-05,2170,0.0078817,0.70,0.67
0.0393,0.0785,7.5e-05,4504,0.0163105,0.30,0.53
0.0219,0.0439,3.6e-05,2165,0.0078947,0.81,0.67
0.0284,0.0567,4.4e-05,2648,0.0093798,0.46,0.64
0.0238,0.0477,3.8e-05,2294,0.0081422,0.67,0.67
