"","time","ISense [mV]","Current [A]","USample [mV]"
"159",3729845193.452,4.117036,0.8234072,0.178944
"160",3729845193.877,4.131773,0.8263546,0.176897
"161",3729845194.304,4.133724,0.8267448,0.176991
"162",3729845194.737,4.127721,0.8255442,0.178561
"163",3729845195.168,4.127275,0.825455,0.176121
"164",3729845195.596,4.131621,0.8263242,0.175724
"165",3729845196.025,4.136957,0.8273914,0.176572
"166",3729845196.447,4.136169,0.8272338,0.176011
"167",3729845196.881,4.120342,0.8240684,0.176428
"168",3729845197.316,4.122134,0.8244268,0.179256
"169",3729845197.743,4.129542,0.8259084,0.177656
"170",3729845198.172,4.123847,0.8247694,0.177513
"171",3729845198.595,4.137344,0.8274688,0.173979
"172",3729845199.024,4.130334,0.8260668,0.1826
"173",3729845199.448,4.117084,0.8234168,0.175588
"174",3729845199.875,4.131526,0.8263052,0.179139
"175",3729845200.3,4.126993,0.8253986,0.177598
"176",3729845200.723,4.134456,0.8268912,0.177989
"177",3729845201.146,4.14961,0.829922,0.178059
"178",3729845201.57,4.148253,0.8296506,0.183012
"179",3729845201.991,4.142561,0.8285122,0.178847
"180",3729845202.413,4.145782,0.8291564,0.179184
"181",3729845202.837,4.158017,0.8316034,0.18155
"182",3729845203.266,4.158377,0.8316754,0.179349
"183",3729845203.697,4.143755,0.828751,0.176933
"184",3729845204.122,4.223727,0.8447454,0.192456
"185",3729845204.546,4.156583,0.8313166,0.211986
"186",3729845204.971,4.128476,0.8256952,0.212279
"187",3729845205.396,4.148056,0.8296112,0.219103
"188",3729845205.821,4.129613,0.8259226,0.210444
"189",3729845206.245,4.106766,0.8213532,0.210135
"190",3729845206.671,4.133581,0.8267162,0.216352
"191",3729845207.093,4.203346,0.8406692,0.216285
"192",3729845207.519,4.305111,0.8610222,0.179215
"193",3729845207.942,4.124437,0.8248874,0.214202
"194",3729845208.366,4.145325,0.829065,0.220538
"195",3729845208.797,4.139115,0.827823,0.178433
"196",3729845209.224,4.14244,0.828488,0.175883
"197",3729845209.649,4.155135,0.831027,0.179072
